Fondsposition per,"03.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"AAPL","APPLE INC","IT","Aktien","2.261.141.937,60","4,83","2.261.141.937,60","13.077.744,00","172,90","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","1.701.216.288,75","3,63","1.701.216.288,75","5.647.191,00","301,25","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Zyklische Konsumgüter ","Aktien","1.000.056.929,03","2,14","1.000.056.929,03","360.133,00","2.776,91","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","682.937.090,20","1,46","682.937.090,20","238.639,00","2.861,80","Vereinigte Staaten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","652.123.907,74","1,39","652.123.907,74","228.574,00","2.853,01","Vereinigte Staaten","NASDAQ","USD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","592.549.284,76","1,27","592.549.284,76","664.934,00","891,14","Vereinigte Staaten","NASDAQ","USD"
"NVDA","NVIDIA CORP","IT","Aktien","475.175.737,04","1,01","475.175.737,04","1.984.198,00","239,48","Vereinigte Staaten","NASDAQ","USD"
"FB","META PLATFORMS INC CLASS A","Kommunikation","Aktien","448.763.678,40","0,96","448.763.678,40","1.887.465,00","237,76","Vereinigte Staaten","NASDAQ","USD"
"UNH","UNITEDHEALTH GROUP INC","Gesundheitsversorgung","Aktien","365.321.361,10","0,78","365.321.361,10","747.430,00","488,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Gesundheitsversorgung","Aktien","361.051.642,28","0,77","361.051.642,28","2.089.903,00","172,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","352.019.294,40","0,75","352.019.294,40","2.367.312,00","148,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","333.162.804,24","0,71","333.162.804,24","1.056.888,00","315,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Nichtzyklische Konsumgüter","Aktien","316.058.135,60","0,67","316.058.135,60","1.925.540,00","164,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","IT","Aktien","309.330.030,72","0,66","309.330.030,72","1.335.968,00","231,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Zyklische Konsumgüter ","Aktien","306.750.853,31","0,65","306.750.853,31","840.851,00","364,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","290.578.420,42","0,62","290.578.420,42","2.236.164,00","129,95","Schweiz","SIX Swiss Exchange","CHF"
"BAC","BANK OF AMERICA CORP","Financials","Aktien","278.839.404,41","0,60","278.839.404,41","6.005.587,00","46,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","IT","Aktien","272.190.846,00","0,58","272.190.846,00","697.800,00","390,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energie","Aktien","268.101.447,36","0,57","268.101.447,36","3.364.727,00","79,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Gesundheitsversorgung","Aktien","235.217.261,84","0,50","235.217.261,84","4.406.468,00","53,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ASML","ASML HOLDING NV","IT","Aktien","214.802.110,05","0,46","214.802.110,05","327.874,00","655,14","Niederlande","Euronext Amsterdam","EUR"
"ROG","ROCHE HOLDING PAR AG","Gesundheitsversorgung","Aktien","210.462.131,41","0,45","210.462.131,41","554.981,00","379,22","Schweiz","SIX Swiss Exchange","CHF"
"CVX","CHEVRON CORP","Energie","Aktien","205.324.523,80","0,44","205.324.523,80","1.529.989,00","134,20","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Kommunikation","Aktien","201.310.208,66","0,43","201.310.208,66","1.437.622,00","140,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KO","COCA-COLA","Nichtzyklische Konsumgüter","Aktien","199.245.631,02","0,43","199.245.631,02","3.233.982,00","61,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABBV","ABBVIE INC","Gesundheitsversorgung","Aktien","195.211.367,82","0,42","195.211.367,82","1.387.134,00","140,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
