Fondsposition per,"24.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","203.266.903,35","3,21","203.266.903,35","1.821.156,00","111,61","Schweiz","SIX Swiss Exchange","CHF"
"ROG","ROCHE HOLDING PAR AG","Gesundheitsversorgung","Aktien","149.822.986,98","2,36","149.822.986,98","454.521,00","329,63","Schweiz","SIX Swiss Exchange","CHF"
"ASML","ASML HOLDING NV","IT","Aktien","149.264.354,60","2,36","149.264.354,60","267.403,00","558,20","Niederlande","Euronext Amsterdam","EUR"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","119.914.518,09","1,89","119.914.518,09","1.572.496,00","76,26","Schweiz","SIX Swiss Exchange","CHF"
"SHELL","SHELL PLC","Energie","Aktien","116.650.487,95","1,84","116.650.487,95","4.986.129,00","23,40","Vereinigtes Königreich","Euronext Amsterdam","EUR"
"MC","LVMH","Zyklische Konsumgüter ","Aktien","108.083.287,10","1,71","108.083.287,10","169.969,00","635,90","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","102.446.100,47","1,62","102.446.100,47","999.295,00","102,52","Vereinigtes Königreich","London Stock Exchange","GBP"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","92.646.402,69","1,46","92.646.402,69","1.072.451,00","86,39","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"LIN","LINDE PLC","Materialien","Aktien","83.090.646,70","1,31","83.090.646,70","330.446,00","251,45","Vereinigte Staaten","Xetra","EUR"
"HSBA","HSBC HOLDINGS PLC","Financials","Aktien","82.098.267,82","1,30","82.098.267,82","13.378.617,00","6,14","Vereinigtes Königreich","London Stock Exchange","GBP"
"TTE","TOTALENERGIES","Energie","Aktien","81.122.289,08","1,28","81.122.289,08","1.703.534,00","47,62","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ULVR","UNILEVER PLC","Nichtzyklische Konsumgüter","Aktien","73.894.355,88","1,17","73.894.355,88","1.702.210,00","43,41","Vereinigtes Königreich","London Stock Exchange","GBP"
"SAP","SAP","IT","Aktien","68.882.877,28","1,09","68.882.877,28","706.636,00","97,48","Deutschland","Xetra","EUR"
"SAN","SANOFI SA","Gesundheitsversorgung","Aktien","66.783.274,89","1,05","66.783.274,89","740.309,00","90,21","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DGE","DIAGEO PLC","Nichtzyklische Konsumgüter","Aktien","63.226.032,43","1,00","63.226.032,43","1.501.494,00","42,11","Vereinigtes Königreich","London Stock Exchange","GBP"
"SIE","SIEMENS N AG","Industrie","Aktien","60.352.225,08","0,95","60.352.225,08","486.006,00","124,18","Deutschland","Xetra","EUR"
"GSK","GLAXOSMITHKLINE PLC","Gesundheitsversorgung","Aktien","58.568.442,62","0,92","58.568.442,62","3.256.856,00","17,98","Vereinigtes Königreich","London Stock Exchange","GBP"
"BP.","BP PLC","Energie","Aktien","55.843.149,85","0,88","55.843.149,85","12.795.215,00","4,36","Vereinigtes Königreich","London Stock Exchange","GBP"
"OR","LOREAL SA","Nichtzyklische Konsumgüter","Aktien","53.086.214,70","0,84","53.086.214,70","155.838,00","340,65","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ALV","ALLIANZ","Financials","Aktien","52.903.050,20","0,83","52.903.050,20","264.251,00","200,20","Deutschland","Xetra","EUR"
"BATS","BRITISH AMERICAN TOBACCO PLC","Nichtzyklische Konsumgüter","Aktien","52.296.584,82","0,83","52.296.584,82","1.355.579,00","38,58","Vereinigtes Königreich","London Stock Exchange","GBP"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","49.668.774,20","0,78","49.668.774,20","368.135,00","134,92","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RIO","RIO TINTO PLC","Materialien","Aktien","45.466.738,84","0,72","45.466.738,84","696.196,00","65,31","Vereinigtes Königreich","London Stock Exchange","GBP"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialien","Aktien","44.331.553,34","0,70","44.331.553,34","306.623,00","144,58","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BNP","BNP PARIBAS SA","Financials","Aktien","41.121.820,32","0,65","41.121.820,32","746.448,00","55,09","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AIR","AIRBUS GROUP","Industrie","Aktien","41.040.075,72","0,65","41.040.075,72","376.791,00","108,92","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Zyklische Konsumgüter ","Aktien","39.279.081,43","0,62","39.279.081,43","337.865,00","116,26","Schweiz","SIX Swiss Exchange","CHF"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Aktien","38.962.913,07","0,61","38.962.913,07","97.409,00","399,99","Schweiz","SIX Swiss Exchange","CHF"
"MBG","MERCEDES-BENZ GROUP N AG","Zyklische Konsumgüter ","Aktien","37.377.321,66","0,59","37.377.321,66","543.354,00","68,79","Deutschland","Xetra","EUR"
