Fondsposition per,"24.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"AAPL","APPLE INC","IT","Aktien","3.917.314.702,74","6,97","3.917.314.702,74","24.071.001,00","162,74","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","3.415.837.038,16","6,07","3.415.837.038,16","11.595.224,00","294,59","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Zyklische Konsumgüter ","Aktien","2.038.919.400,72","3,63","2.038.919.400,72","673.542,00","3.027,16","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","1.233.057.655,70","2,19","1.233.057.655,70","464.635,00","2.653,82","Vereinigte Staaten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","1.145.765.692,53","2,04","1.145.765.692,53","431.799,00","2.653,47","Vereinigte Staaten","NASDAQ","USD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","1.006.024.967,94","1,79","1.006.024.967,94","1.256.322,00","800,77","Vereinigte Staaten","NASDAQ","USD"
"NVDA","NVIDIA CORP","IT","Aktien","916.912.417,32","1,63","916.912.417,32","3.861.009,00","237,48","Vereinigte Staaten","NASDAQ","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","871.915.414,44","1,55","871.915.414,44","2.828.323,00","308,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FB","META PLATFORMS INC CLASS A","Kommunikation","Aktien","758.656.969,20","1,35","758.656.969,20","3.654.417,00","207,60","Vereinigte Staaten","NASDAQ","USD"
"UNH","UNITEDHEALTH GROUP INC","Gesundheitsversorgung","Aktien","663.147.167,69","1,18","663.147.167,69","1.454.621,00","455,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","659.742.823,25","1,17","659.742.823,25","4.564.115,00","144,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Gesundheitsversorgung","Aktien","642.952.328,24","1,14","642.952.328,24","4.065.716,00","158,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Nichtzyklische Konsumgüter","Aktien","567.174.165,60","1,01","567.174.165,60","3.737.310,00","151,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
