Fondsposition per,"05.Apr.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"AAPL","APPLE INC","IT","Aktien","2.333.143.835,86","4,86","2.333.143.835,86","13.327.681,00","175,06","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","1.801.293.745,76","3,76","1.801.293.745,76","5.794.177,00","310,88","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Zyklische Konsumgüter ","Aktien","1.215.178.352,70","2,53","1.215.178.352,70","370.357,00","3.281,10","Vereinigte Staaten","NASDAQ","USD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","756.221.354,80","1,58","756.221.354,80","692.980,00","1.091,26","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","685.687.613,38","1,43","685.687.613,38","243.859,00","2.811,82","Vereinigte Staaten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","654.907.547,58","1,37","654.907.547,58","232.133,00","2.821,26","Vereinigte Staaten","NASDAQ","USD"
"NVDA","NVIDIA CORP","IT","Aktien","525.812.222,16","1,10","525.812.222,16","2.027.736,00","259,31","Vereinigte Staaten","NASDAQ","USD"
"FB","META PLATFORMS INC CLASS A","Kommunikation","Aktien","447.195.712,32","0,93","447.195.712,32","1.928.898,00","231,84","Vereinigte Staaten","NASDAQ","USD"
"UNH","UNITEDHEALTH GROUP INC","Gesundheitsversorgung","Aktien","395.470.265,60","0,82","395.470.265,60","763.810,00","517,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Gesundheitsversorgung","Aktien","379.341.569,32","0,79","379.341.569,32","2.135.812,00","177,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","364.274.648,80","0,76","364.274.648,80","1.056.481,00","344,80","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","317.423.603,72","0,66","317.423.603,72","2.380.558,00","133,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","IT","Aktien","308.686.329,25","0,64","308.686.329,25","1.365.325,00","226,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","304.685.241,89","0,64","304.685.241,89","2.288.591,00","133,13","Schweiz","SIX Swiss Exchange","CHF"
"PG","PROCTER & GAMBLE","Nichtzyklische Konsumgüter","Aktien","304.268.039,28","0,63","304.268.039,28","1.967.844,00","154,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energie","Aktien","284.479.266,31","0,59","284.479.266,31","3.438.647,00","82,73","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","IT","Aktien","259.089.668,44","0,54","259.089.668,44","713.117,00","363,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Zyklische Konsumgüter ","Aktien","258.553.290,30","0,54","258.553.290,30","848.105,00","304,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energie","Aktien","255.436.067,04","0,53","255.436.067,04","1.563.639,00","163,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BAC","BANK OF AMERICA CORP","Financials","Aktien","238.060.666,26","0,50","238.060.666,26","5.930.759,00","40,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABBV","ABBVIE INC","Gesundheitsversorgung","Aktien","235.918.069,06","0,49","235.918.069,06","1.443.542,00","163,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ROG","ROCHE HOLDING PAR AG","Gesundheitsversorgung","Aktien","235.801.741,34","0,49","235.801.741,34","568.232,00","414,97","Schweiz","SIX Swiss Exchange","CHF"
"PFE","PFIZER INC","Gesundheitsversorgung","Aktien","234.691.087,68","0,49","234.691.087,68","4.580.232,00","51,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ASML","ASML HOLDING NV","IT","Aktien","219.886.617,83","0,46","219.886.617,83","335.482,00","655,44","Niederlande","Euronext Amsterdam","EUR"
"KO","COCA-COLA","Nichtzyklische Konsumgüter","Aktien","206.473.657,55","0,43","206.473.657,55","3.305.165,00","62,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AVGO","BROADCOM INC","IT","Aktien","205.383.222,20","0,43","205.383.222,20","334.435,00","614,12","Vereinigte Staaten","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Nichtzyklische Konsumgüter","Aktien","203.870.395,20","0,43","203.870.395,20","354.360,00","575,32","Vereinigte Staaten","NASDAQ","USD"
"DIS","WALT DISNEY","Kommunikation","Aktien","199.263.753,60","0,42","199.263.753,60","1.469.280,00","135,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Gesundheitsversorgung","Aktien","192.604.080,02","0,40","192.604.080,02","658.498,00","292,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Nichtzyklische Konsumgüter","Aktien","191.153.019,42","0,40","191.153.019,42","1.261.986,00","151,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Nichtzyklische Konsumgüter","Aktien","190.634.955,00","0,40","190.634.955,00","1.124.690,00","169,50","Vereinigte Staaten","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","IT","Aktien","187.778.839,28","0,39","187.778.839,28","3.419.134,00","54,92","Vereinigte Staaten","NASDAQ","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Gesundheitsversorgung","Aktien","186.665.774,40","0,39","186.665.774,40","319.480,00","584,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADBE","ADOBE INC","IT","Aktien","176.847.249,78","0,37","176.847.249,78","385.641,00","458,58","Vereinigte Staaten","NASDAQ","USD"
"CMCSA","COMCAST CORP CLASS A","Kommunikation","Aktien","176.405.497,65","0,37","176.405.497,65","3.685.095,00","47,87","Vereinigte Staaten","NASDAQ","USD"
"VZ","VERIZON COMMUNICATIONS INC","Kommunikation","Aktien","176.051.384,60","0,37","176.051.384,60","3.335.570,00","52,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SHEL","SHELL PLC","Energie","Aktien","175.125.860,27","0,37","175.125.860,27","6.288.229,00","27,85","Vereinigtes Königreich","London Stock Exchange","GBP"
"ACN","ACCENTURE PLC CLASS A","IT","Aktien","174.396.647,84","0,36","174.396.647,84","508.712,00","342,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRK","MERCK & CO INC","Gesundheitsversorgung","Aktien","171.880.425,08","0,36","171.880.425,08","2.053.039,00","83,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABT","ABBOTT LABORATORIES","Gesundheitsversorgung","Aktien","170.779.693,84","0,36","170.779.693,84","1.429.358,00","119,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CRM","SALESFORCE INC","IT","Aktien","169.763.490,26","0,35","169.763.490,26","807.859,00","210,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","169.076.984,55","0,35","169.076.984,55","1.246.048,00","135,69","Vereinigtes Königreich","London Stock Exchange","GBP"
"BHP","BHP GROUP LTD","Materialien","Aktien","164.230.759,02","0,34","164.230.759,02","4.146.270,00","39,61","Australien","Asx - All Markets","AUD"
"MC","LVMH","Zyklische Konsumgüter ","Aktien","163.807.681,11","0,34","163.807.681,11","226.590,00","722,93","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","160.189.476,71","0,33","160.189.476,71","1.811.597,00","88,42","Schweiz","SIX Swiss Exchange","CHF"
"INTC","INTEL CORPORATION CORP","IT","Aktien","159.411.758,04","0,33","159.411.758,04","3.312.108,00","48,13","Vereinigte Staaten","NASDAQ","USD"
"NOVO B","NOVO NORDISK CLASS B","Gesundheitsversorgung","Aktien","156.658.980,83","0,33","156.658.980,83","1.356.285,00","115,51","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"WFC","WELLS FARGO","Financials","Aktien","155.448.917,16","0,32","155.448.917,16","3.230.443,00","48,12","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"7203","TOYOTA MOTOR CORP","Zyklische Konsumgüter ","Aktien","153.675.564,70","0,32","153.675.564,70","8.544.500,00","17,99","Japan","Tokyo Stock Exchange","JPY"
"MCD","MCDONALDS CORP","Zyklische Konsumgüter ","Aktien","150.634.336,50","0,31","150.634.336,50","606.150,00","248,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Gesundheitsversorgung","Aktien","149.772.933,45","0,31","149.772.933,45","521.185,00","287,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","IT","Aktien","140.945.251,30","0,29","140.945.251,30","1.319.465,00","106,82","Vereinigte Staaten","NASDAQ","USD"
"NEE","NEXTERA ENERGY INC","Versorger","Aktien","138.152.517,72","0,29","138.152.517,72","1.600.284,00","86,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"T","AT&T INC","Kommunikation","Aktien","138.151.044,22","0,29","138.151.044,22","5.782.798,00","23,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Kommunikation","Aktien","136.552.541,05","0,28","136.552.541,05","359.207,00","380,15","Vereinigte Staaten","NASDAQ","USD"
"NKE","NIKE INC CLASS B","Zyklische Konsumgüter ","Aktien","136.433.052,00","0,28","136.433.052,00","1.031.240,00","132,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"QCOM","QUALCOMM INC","IT","Aktien","134.049.681,22","0,28","134.049.681,22","921.557,00","145,46","Vereinigte Staaten","NASDAQ","USD"
"LIN","LINDE PLC","Materialien","Aktien","133.457.003,43","0,28","133.457.003,43","414.759,00","321,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BMY","BRISTOL MYERS SQUIBB","Gesundheitsversorgung","Aktien","133.171.272,45","0,28","133.171.272,45","1.789.215,00","74,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industrie","Aktien","132.125.808,80","0,28","132.125.808,80","524.080,00","252,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","IT","Aktien","130.335.202,62","0,27","130.335.202,62","735.609,00","177,18","Vereinigte Staaten","NASDAQ","USD"
"RY","ROYAL BANK OF CANADA","Financials","Aktien","129.457.107,09","0,27","129.457.107,09","1.166.934,00","110,94","Kanada","Toronto Stock Exchange","CAD"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrie","Aktien","120.993.931,91","0,25","120.993.931,91","1.224.511,00","98,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MDT","MEDTRONIC PLC","Gesundheitsversorgung","Aktien","120.688.431,50","0,25","120.688.431,50","1.092.203,00","110,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Nichtzyklische Konsumgüter","Aktien","120.254.090,34","0,25","120.254.090,34","1.257.099,00","95,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TD","TORONTO DOMINION","Financials","Aktien","119.291.142,75","0,25","119.291.142,75","1.480.989,00","80,55","Kanada","Toronto Stock Exchange","CAD"
"SPGI","S&P GLOBAL INC","Financials","Aktien","118.160.546,28","0,25","118.160.546,28","286.881,00","411,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HSBA","HSBC HOLDINGS PLC","Financials","Aktien","115.248.523,08","0,24","115.248.523,08","16.632.863,00","6,93","Vereinigtes Königreich","London Stock Exchange","GBP"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrie","Aktien","115.126.267,75","0,24","115.126.267,75","583.775,00","197,21","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Aktien","113.414.235,24","0,24","113.414.235,24","1.425.352,00","79,57","Australien","Asx - All Markets","AUD"
"ORCL","ORACLE CORP","IT","Aktien","112.599.509,88","0,23","112.599.509,88","1.357.602,00","82,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Zyklische Konsumgüter ","Aktien","112.190.704,53","0,23","112.190.704,53","547.619,00","204,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Gesundheitsversorgung","Aktien","111.661.938,48","0,23","111.661.938,48","456.583,00","244,56","Vereinigte Staaten","NASDAQ","USD"
"INTU","INTUIT INC","IT","Aktien","110.136.989,40","0,23","110.136.989,40","222.028,00","496,05","Vereinigte Staaten","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrie","Aktien","108.252.530,47","0,23","108.252.530,47","559.069,00","193,63","Vereinigte Staaten","NASDAQ","USD"
"1299","AIA GROUP LTD","Financials","Aktien","106.970.294,13","0,22","106.970.294,13","9.989.674,00","10,71","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
