Fondsposition per,"01.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"AAPL","APPLE INC","IT","Aktien","3.928.387.363,20","6,95","3.928.387.363,20","24.071.001,00","163,20","Vereinigte Staaten","NASDAQ","USD"
"MSFT","MICROSOFT CORP","IT","Aktien","3.420.011.318,80","6,05","3.420.011.318,80","11.595.224,00","294,95","Vereinigte Staaten","NASDAQ","USD"
"AMZN","AMAZON COM INC","Zyklische Konsumgüter ","Aktien","2.036.009.699,28","3,60","2.036.009.699,28","673.542,00","3.022,84","Vereinigte Staaten","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Kommunikation","Aktien","1.245.793.301,05","2,21","1.245.793.301,05","464.635,00","2.681,23","Vereinigte Staaten","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Kommunikation","Aktien","1.158.672.164,64","2,05","1.158.672.164,64","431.799,00","2.683,36","Vereinigte Staaten","NASDAQ","USD"
"TSLA","TESLA INC","Zyklische Konsumgüter ","Aktien","1.085.927.047,14","1,92","1.085.927.047,14","1.256.322,00","864,37","Vereinigte Staaten","NASDAQ","USD"
"NVDA","NVIDIA CORP","IT","Aktien","906.449.082,93","1,60","906.449.082,93","3.861.009,00","234,77","Vereinigte Staaten","NASDAQ","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Aktien","896.125.859,32","1,59","896.125.859,32","2.828.323,00","316,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FB","META PLATFORMS INC CLASS A","Kommunikation","Aktien","743.637.315,33","1,32","743.637.315,33","3.654.417,00","203,49","Vereinigte Staaten","NASDAQ","USD"
"UNH","UNITEDHEALTH GROUP INC","Gesundheitsversorgung","Aktien","692.763.251,25","1,23","692.763.251,25","1.454.621,00","476,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Gesundheitsversorgung","Aktien","666.777.424,00","1,18","666.777.424,00","4.065.716,00","164,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Aktien","622.773.491,75","1,10","622.773.491,75","4.564.115,00","136,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PG","PROCTER & GAMBLE","Nichtzyklische Konsumgüter","Aktien","572.966.996,10","1,01","572.966.996,10","3.737.310,00","153,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"V","VISA INC CLASS A","IT","Aktien","541.227.493,69","0,96","541.227.493,69","2.589.977,00","208,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Zyklische Konsumgüter ","Aktien","521.987.644,50","0,92","521.987.644,50","1.629.938,00","320,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energie","Aktien","517.635.785,94","0,92","517.635.785,94","6.538.282,00","79,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BAC","BANK OF AMERICA CORP","Financials","Aktien","472.380.899,12","0,84","472.380.899,12","11.122.696,00","42,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MA","MASTERCARD INC CLASS A","IT","Aktien","461.510.190,40","0,82","461.510.190,40","1.339.730,00","344,48","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energie","Aktien","445.726.920,40","0,79","445.726.920,40","2.977.070,00","149,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Kommunikation","Aktien","408.886.943,40","0,72","408.886.943,40","2.806.362,00","145,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABBV","ABBVIE INC","Gesundheitsversorgung","Aktien","403.235.496,27","0,71","403.235.496,27","2.730.283,00","147,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PFE","PFIZER INC","Gesundheitsversorgung","Aktien","396.585.018,75","0,70","396.585.018,75","8.668.525,00","45,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KO","COCA-COLA","Nichtzyklische Konsumgüter","Aktien","372.056.477,52","0,66","372.056.477,52","6.003.816,00","61,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AVGO","BROADCOM INC","IT","Aktien","362.430.985,20","0,64","362.430.985,20","635.710,00","570,12","Vereinigte Staaten","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Nichtzyklische Konsumgüter","Aktien","356.819.716,71","0,63","356.819.716,71","682.347,00","522,93","Vereinigte Staaten","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","IT","Aktien","355.778.184,76","0,63","355.778.184,76","6.513.698,00","54,62","Vereinigte Staaten","NASDAQ","USD"
"PEP","PEPSICO INC","Nichtzyklische Konsumgüter","Aktien","346.500.648,18","0,61","346.500.648,18","2.135.334,00","162,27","Vereinigte Staaten","NASDAQ","USD"
"ADBE","ADOBE INC","IT","Aktien","342.912.263,88","0,61","342.912.263,88","734.791,00","466,68","Vereinigte Staaten","NASDAQ","USD"
